source,target,relation
Alhaitham,mole,reveals himself as
Akasha,computation,is capable of
Cyno,being followed,initially dismayed
perpetrators,desert,would go
Dehya,Rahman,was trying to convince
Rahman,Dehya's reasoning,refuses to accept
Alhaitham,hostage,offers himself
Dehya,her right arm,offers
Rahman,chop Dehya's arm off,accepts and orders
Rahman,cutting her arm off,changes his mind
Rahman,group to leave,allows
Rahman,a fight,demands
group,Rahman's group,heads out to meet
Rahman,one-on-one exchange,states
Dehya,Rahman,charges and overwhelms
Rahman's men,Isak's grandpa,threatens
Isak's grandpa,the group,protects
group,mysterious ruins,finds themselves
ruins,King Deshret,belong to
ruins,Dendro Archon's power,imbued with
Alhaitham,runes,deciphers
transcript,Kasala,is from
King Deshret,forbidden knowledge,introduced
Greater Lord Rukkhadevata,give people life,used her powers
King Deshret,prevent knowledge's return,sacrificed himself
Rukkhadevata,small child,reverted
Rahman,the group,apologizes
Rahman,Village Keepers,promises to return
Rahman,perpetrators,brings the group
Morghi and Judar,seeing Alhaitham and Cyno,become terrified
sages,new god,planning to create
scientific breakthroughs,rare and declining,had been
Il Dottore,create new god,approached them with the notion
dream samsara and harvesting Divine Canned Knowledge,process to create new god,part of
everyone,sages' actions unacceptable,agrees
group,crush the sages and rescue their true god,begins to concoct a plan
"Akasha Pulses, the Kalpa Flame Rises",Chapter III,is the fifth act in
"Akasha Pulses, the Kalpa Flame Rises",Archon Quests,is part of
Traveler,Candace,finds
Candace,Traveler and Paimon that everyone is waiting,tells
Alhaitham,"Cyno, Dehya, Traveler, and Paimon",formulates a plan with
Alhaitham's plan,Jnagarbha Day,involves taking action on
Alhaitham,Rahman,spoke with
Alhaitham,mercenaries,advises
Traveler and Paimon,Alhaitham about Irminsul,inform
Alhaitham,Rahman's base,goes to
Traveler and Paimon,Morghi and Judar working at Rahman's base,find
Alhaitham,Traveler and Paimon to Cyno,sends
Cyno,Rahman,argues with
Cyno,Alhaitham for advice,goes to
Rahman,Cyno,explains the plan to
Cyno,guards at the outpost,works with
Cyno,guards about the arrest,informs
Alhaitham,guards at Caravan Ribat should be unaware that Cyno had stepped down,believes
Cyno,Luxembarbo,briefs
Cyno,Traveler and Paimon as his assistant and their construct,introduces
Cyno,an elite platoon,requests
Rahman and his men,"Cyno, Traveler, Paimon, Luxembarbo, and his men",are arrested by
Dehya,"Traveler, Paimon",scolds
"Traveler, Paimon, Dehya, Cyno",Dottore,needs information on
"Traveler, Paimon, Dehya, Cyno",Tighnari,seeks help from
Dottore,Tighnari,requests Haypasia from
Tighnari,Dottore,refuses
Dehya,Dottore,tracks
Dottore,"Traveler, Paimon, Dehya, Cyno",misleads
"Traveler, Paimon, Dehya, Cyno, Tighnari",Fatui,fights
Scaramouche,"Traveler, Paimon, Dehya, Cyno, Tighnari",appears before
Scaramouche,humanity,is disgusted by
Scaramouche,Haypasia,has affection for
Scaramouche,lightning storm,unleashes
Tighnari,lightning,is struck by
"Traveler, Paimon",Alhaitham,meets with
"Traveler, Paimon, Alhaitham",Azar's office,infiltrates
Azar,"Traveler, Paimon, Alhaitham",intercepts
Azar,"Traveler, Paimon",detains
Alhaitham,Azar,attacks
Azar,Alhaitham,exiles
Azar,"Traveler, Paimon",imprisons
Traveler,Nahida,sets
Traveler,Nahida's consciousness,connects to
Nahida,self-doubt,has
Traveler,barrier,breaks
Traveler,Nahida,wakes up
Zubayr,Nilou,asks
Nilou,Akademiya,performs at
Azar,guards,orders
Alhaitham,possibility,planned for
Dehya,action,goes into
Eremites,action,goes into
Dehya and Eremites,guards,lures
Dehya and Eremites,guards,defeats
Azar,Akasha,checks
Uday,Azar,angers
Azar,Sanctuary of Surasthana,goes to
Cyno,Azar,demands
Dehya,Traveler,frees
Nahida,Traveler,apologizes to
Nahida,Akasha,reverts
Nahida,access,revokes
Nahida,upgraded Akasha,gives
Nahida,false god's location,discovers
Nahida,Traveler,supports
Traveler,facility,enters
Nahida,Scaramouche,senses
Scaramouche,god,sees himself as
Sages,infuse Divine Knowledge Capsules,were unable to
Nahida,Scaramouche,awakens
Scaramouche,Traveler,challenges
Scaramouche,arm,plunges
Nahida,samsara,reveals
Nahida,knowledge,imparts
Nahida,knowledge,compiles
Traveler,Scaramouche,defeats
Nahida,Electro Gnosis,grabs
Nahida and Traveler,Rukkhadevata's memory,enters
Traveler,forbidden knowledge,explains
Nahida,forbidden knowledge,connects
Corroded consciousness,everyone,is affecting
Traveler,place,recalls
Rukkhadevata,Nahida,created
Nahida,Rukkhadevata,erases
Irminsul,dreaming,allows
Irminsul,forbidden knowledge,removes
Nahida and Paimon,Rukkhadevata,forgot about
Traveler,Nahida,contemplates telling
Traveler,null,falls asleep
Dottore,null,walks in
Dottore,sound wave,used
Sound wave,Traveler and Paimon,put to sleep
Dottore,negotiate,came to
Dottore,Nahida,reminds
Nahida,Dottore,can't fight
Nahida,Electro Gnosis,threatens to destroy
Electro Gnosis,Celestia,could awaken
Dottore,threat,falls for
Nahida,Electro Gnosis,agrees to give
Dottore,segments,eliminates
Dottore,Dendro Gnosis,inquires about
Dottore,information,offers
Traveler,null,regains consciousness
Paimon,Traveler,wakes up
"Traveler, Paimon, and Collei",breakfast,have
Nilou,letter,left
Nilou,"Traveler, Paimon, and Collei",invited
Cyno,General Mahamatra,returned to position
Cyno,Traveler,brought
Traveler,Tighnari,invites
Tighnari,invitation,declines
Nahida,Azar and other sages,sentenced
Azar and other sages,wisdom,to cultivate
Nahida,Scaramouche,defeated
Nahida,Irminsul,restored
Nilou,"Alhaitham, Dehya, Dunyarzad, Rahman, and Cyno",sent invitations to
Alhaitham,Kaveh,argues with
Alhaitham,Grand Sage,rejected offer to become
Traveler,Alhaitham,informs
Dehya,bodyguard,intends to quit serving as
Dehya,Traveler,asks
Paimon,invitation,asks about
Setaria,Akademiya,intends to leave
Nahida,supplies,devoted
Cyno,Rahman's men,contacted
Traveler,Grand Bazaar,returns to
Nahida,Traveler,connects to
Nahida,group,thanks
Traveler,Sanctuary,returns to
Nahida,questions,answers
Nahida,information,reveals
Fatui,"Traveler as Teyvat's fourth ""Descender""",classified
Nahida,Fatui classification of Traveler,revealed
Nahida,"Heavenly Principles as first ""Descender""",suspects
Nahida,"identity of other two ""Descenders""",unsure
Nahida,help Traveler with inquiries,promises
Nahida,Traveler's dreams,may appear
"Akasha Pulses, the Kalpa Flame Rises",5 Achievements,has
Caribert,Archon Quest,Quest Type
Caribert,Chapter III,Chapter
Caribert,Act VI,Act
Caribert,"Akasha Pulses, the Kalpa Flame Rises",Previous
Caribert,Prelude of Blancheur and Noirceur,Next
Caribert,Adventure Rank 35,Requirements
Eide,Chlothar Alberich,is
Caribert,Eide's son,is
Eide,Khaenri'ah,originates from
Caribert,Hilichurl,transformed into
Hilichurls,Strange being,pray to
Strange being,Abyss,is member of
Strange being,Abyss Order,is not member of
Chlothar Alberich,Power of the Abyss,seeks to use
Chlothar,Abyss Order,founder of
Dainsleif,sinner,suspects
Traveler,Paimon,hugs
Caribert,4 achievements,has
Prelude of Blancheur and Noirceur,Archon Quest,Quest Type
Prelude of Blancheur and Noirceur,Chapter IV,Chapter
Prelude of Blancheur and Noirceur,Act I,Act
Prelude of Blancheur and Noirceur,Caribert,Previous
Prelude of Blancheur and Noirceur,As Light Rain Falls Without Reason,Next
Prelude of Blancheur and Noirceur,Adventure Rank 40,Requirements
Prelude of Blancheur and Noirceur,100,Rewards
Hydro Archon,absolve people of Fontaine's sin,could not
Fontaine's water levels,rise and drown people,would
Magic Pockets,people to transport belongings,allow
Lyney,people to be prepared,wanted
"Traveler, twins",catch a thief,concoct a plan
Lyney,himself,hurt
Charlotte,"recent events, including disappearing young women",discuss
Freminet,everyone went out,tells
Sky,rain breaks loose,darkens and
Hydro Dragon,rain when it weeps (according to story),cause
Lyney,Freminet to take supplies to workshop,asks
Traveler,take supplies to workshop,offers
Estelle,machine runs on Indemnitium,tells
Truand and lackeys,Estelle,interrupt
Childe,group of their debt,warns
Childe,Truand and his lackeys,overwhelms
Childe,Hydro weapons,loses control of
Childe,Truand,knocks out
Childe,Delusion,has
Childe,Champion Duelists,sparred with
Childe,Vision to Traveler for safekeeping,gives
Lyney,Opera House,performs at
Neuvillette,Lyney's show,attends
Cowell,magic box,found dead in
Audience member,magic box,goes missing from
Traveler,Lyney's attorney,assigned as
Furina,prosecutor,acts as
Lyney and Lynette,House of the Hearth,revealed to be from
House of the Hearth,Fatui,affiliated with
"Navia, Silver, and Melus",Spina di Rosula,members of
Spina di Rosula,serial disappearances,investigates
Lyney,Oratrice's core,investigates
Lyney,smashed vase and scattered clothes,witnesses
Traveler,Cowell's belongings,requests to inspect
Cowell,water from Primordial Sea,possesses
Cowell,organization selling illegal drugs,belongs to
Neuvillette,Traveler to continue hypothesis,allows
Vaughn,false evidence,presents
Liliane,crime,confesses to
Liliane,thief,is
Neuvillette,Not Guilty verdict,delivers
Neuvillette,Vaughn's complicity,realizes
Vaughn,water,dissolves into
Lyney and Lynette,their backstory,explain
Lyney and Lynette,noble,were adopted by
Knave/Arlecchino,Lynette and others,rescues
Knave/Arlecchino,prophecy,believes in
Knave/Arlecchino,Hydro Gnosis to Snezhnaya,takes
Traveler and Paimon,farewell meal,agree to
As Light Rain Falls Without Reason,Archon Quest,Quest Type
As Light Rain Falls Without Reason,Chapter IV,Chapter
As Light Rain Falls Without Reason,Act II,Act
As Light Rain Falls Without Reason,Prelude of Blancheur and Noirceur,Previous
As Light Rain Falls Without Reason,To the Stars Shining in the Depths,Next
As Light Rain Falls Without Reason,Adventure Rank 40,Requirements
As Light Rain Falls Without Reason,100,Rewards
Callas,Navia,father of
Callas,Clorinde,killed by
Callas,Navia,protected
Vacher,disappearance case,witness to
Neuvillette,case file archives,possesses
Callas,rainy day,died on
Jacques,rainy night,murdered on
Primordial Seawater,Sinthe,used in
Sinthe,Callas,banned by
Jacques,Callas,informant of
Callas,illness,diagnosed with
Florent,Callas' murder,suspect in
Thierry,Callas' murder,suspect in
Marcel,Callas' murder,suspect in
Jacques,organization,betrayed
Jacques' wife,Jacques was forced to kill Callas,believes
Traveler,Marcel is likely suspect,concludes
Traveler,enemy headquarters,infiltrates
Navia,Marcel,accuses
Traveler,evidence,collects
Traveler and Paimon,Vacher conducted experiments,discover
Traveler,Marcel,accuses
Neuvillette,evidence,reviews
Oratrice Mecanique d'Analyse Cardinale,Guilty verdict,returns
Neuvillette,Tartaglia is innocent,declares
Neuvillette,information,submits
Oratrice Mecanique d'Analyse Cardinale,Guilty verdict on Tartaglia,returns
Tartaglia,escape,attempts
Neuvillette,Tartaglia,knocks out
Gardemeks,Tartaglia,apprehend
Neuvillette,investigate the matter,promises
Neuvillette,court rules,upholds
Neuvillette,Traveler,assures
Traveler,auditorium,leaves
Traveler,Marcel,runs into
Garde Esmond,Marcel,escorts
Marcel,Traveler,asks
Traveler,Marcel,tells
Marcel,go to the fountain,asks
Neuvillette,Marcel's request,grants
Neuvillette,Marcel,accompanies
Marcel,Vigneire's voice,hears
Marcel,dream realm,enters
Traveler,Marcel's dream,witnesses
Marcel,Oceanid,meets
Oceanid,collective consciousnesses of the women Marcel dissolved,is
Oceanid,Marcel's crimes,knows
Oceanid,Marcel,tells
Vigneire,Marcel,avoids
Oceanid,Marcel,drowns
Doctors,Marcel's death as a panic attack,rule
Traveler and Paimon,shopping,finish
Traveler and Paimon,Navia,cross paths with
Navia,memorial for her father,held
Navia,Clorinde,made amends with
Navia,father's grave,visits
Traveler,Navia,joins
Neuvillette,reason for duel,explains
Neuvillette,humans prioritize lives over justice,believed
Callas,Neuvillette wrong,proved
Traveler and Paimon,Neuvillette questions,ask
Neuvillette,foreseen possibility of different verdict,reveals
Neuvillette,investigate Childe,promises
Furina,prophecy,took seriously
To the Stars Shining in the Depths,Archon Quest,Quest Type
To the Stars Shining in the Depths,Chapter IV,Chapter
To the Stars Shining in the Depths,Act III,Act
To the Stars Shining in the Depths,As Light Rain Falls Without Reason,Previous
To the Stars Shining in the Depths,Cataclysm's Quickening,Next
To the Stars Shining in the Depths,Adventure Rank 40,Requirements
To the Stars Shining in the Depths,100,Rewards
Traveler,Childe's time in prison,has a flashback of
Traveler,Paimon,informs
Traveler and Paimon,the rules,decide to learn about
Traveler and Paimon,the prison facilities,explore
Working for three days straight,being served mystery meat,results in
Betting on two fighters in a match,not allowed,is
Traveler,a rest,takes
Traveler and Paimon,Vidoc,approach
Vidoc,the pipes late at night,tells them to avoid
Cannibals,victims,prey on
Cannibals,other forms,turn victims into
Traveler and Paimon,Vidoc missing,discover
Traveler and Paimon,Fielding,approach
Traveler,strange sounds at night,tells Fielding about
Fielding,rumors of strange sounds,confirms
Strange sounds,pipe-cleaning days,happen during
Traveler,Childe,gets a vision of
Childe,the pipes to escape,used
Traveler and Paimon,three people,find
Hidden rules,farce to protect Childe,were a
Childe,he had to leave,told them
Childe,the pipes,escaped through
Entrance to where Childe left,flooded,is
Traveler,Lyney ask Freminet for help,decides to have
Paimon,puzzled by Childe's behavior,is
Cataclysm's Quickening,Archon Quest,Quest Type
Cataclysm's Quickening,Chapter IV,Chapter
Cataclysm's Quickening,Act IV,Act
Cataclysm's Quickening,To the Stars Shining in the Depths,Previous
Cataclysm's Quickening,Masquerade of the Guilty,Next
Cataclysm's Quickening,40,Adventure Rank Required
Wriothesley,the children are Fatui operatives,knows
Lyney,to investigate the forbidden zone,wants
Wriothesley,Clorinde,hires
Wriothesley,the Traveler and Paimon to the forbidden zone,takes
Primordial Sea,Fontaine,threatens
Wriothesley,a ship,constructs
Neuvillette,the sluice gate,seals
Arlecchino,Oratrice Mecanique d'Analyse Cardinale,asks about
Arlecchino,use of Indemnitium,wonders
Arlecchino,Neuvillette's absence,notes
Arlecchino,Traveler,thanks
Arlecchino,Traveler,confides in
Arlecchino,perspective on Furina,shares
Arlecchino,take Gnosis,attempted
Arlecchino,Furina's lack of Gnosis,discovered
Arlecchino,curse on Furina,sensed
Arlecchino,Furina,left
Arlecchino,thought of Neuvillette as Hydro Archon,entertains
Arlecchino,opportunity to pressure Furina,realized
Arlecchino,Neuvillette is not Hydro Archon,believes
Arlecchino,cooperation with Traveler,offers
Neuvillette,Opera House,arrives
Neuvillette,mourning recent events,remarks about
Neuvillette,rain,causes
Neuvillette,Hydro Sovereign,is
Neuvillette,identity as Hydro Sovereign,confirms
Neuvillette,dragons' past,tells
Neuvillette,inability to stop prophecy,states
Traveler,Arlecchino's children,watches over
Traveler,Arlecchino,meets
Traveler,Neuvillette about his actions,asks
Traveler,Freminet's words,recalls
Traveler,Neuvillette's true identity,realizes
Traveler,prison status,learns
Traveler,prison inhabitants,talks to
Traveler,mission for Neuvillette,completes
Furina,cat,plays with
Furina,assassination attempt,believes
Furina,mercy,begged
Furina,assassination attempt,affected by
Furina,glance at Traveler,steals
Furina,distracts Neuvillette,runs off
Childe,fortress,goes missing
Childe,Primordial Sea,drifts
Childe,narwhal,finds
Wriothesley,Traveler to leave,allows
Wriothesley,Traveler to return,asks
Paimon,Arlecchino's attack,surprised by
Paimon,Neuvillette back to senses,calls
Masquerade of the Guilty,Archon Quest,Quest Type
Masquerade of the Guilty,Chapter IV,Chapter
Masquerade of the Guilty,Act V,Act
Masquerade of the Guilty,Cataclysm's Quickening,Previous Quest
Masquerade of the Guilty,Bedtime Story,Next Quest
Masquerade of the Guilty,40,Required Adventure Rank
Furina,Hydro Archon,is the current
Egeria,Hydro Archon,is the previous
Neuvillette,Furina,confronts
Traveler and Paimon,Fleuve Cendre,rest at
Mona,Astromancer Barbeloth Trismegistus,reveals her master's name as
The Steambird,Mona,invited
Neuvillette,Furina,argues with
Neuvillette,list of victims,gives Furina
Traveler,"Navia, Lyney, Lynette, Freminet, Clorinde",contacts
"Mage ""N""",Traveler and Paimon,visits
Mona,Charlotte,talks with
Paimon and Traveler,Hotel Debord,go to
Sedene,Traveler and Paimon,buys cake for
Paimon and Traveler,Charlotte,meet
Isadora,riot,informs Traveler and Paimon about
Furina,riot,flees from
Marechaussee Phantom,riot,deals with
Traveler and Paimon,Furina,find
Furina,Traveler,tried by
Furina,fraud,accused of
Neuvillette,Furina guilty,deems
Oratrice Mecanique d'Analyse Cardinale,Hydro Archon guilty,declares
Egeria,Primordial Sea,used
Oceanids,humans,transformed into
Hydro Archon,appropriating power,sinned by
Narwhal-like entity,rift,emerges from
Neuvillette and Childe,narwhal-like entity,push back
Narwhal-like entity,rising water levels,responsible for
Focalors,Neuvillette and Traveler,deceived
Focalors,transformed human,was
Focalors,her divinity,split
Focalors,Furina,cursed
Furina,die,could not
Furina,role in the opera,played
Neuvillette,Gnosis,received
Neuvillette,sins of Fontainians,absolved
Neuvillette,Hydro Dragon,is
Traveler and Neuvillette,All-Devouring Narwhal,subdued
Skirk,Narwhal into an orb,converted
Skirk,Childe's master,is
Prophecy,full swing,is in
Fontainians,unaffected by Primordial Sea,were
Fatui and Clorinde,rebuilding of Poisson,helped
Charlotte,Jurieu and Lourvine,interviewed
Father,Hydro Gnosis,received
Childe,Snezhnaya,returned to
Arlecchino,Harbinger,is
Arlecchino,Tsaritsa,handed Gnosis to
Neuvillette,Fontainians as true humans,deemed
Furina,role as Hydro Archon,abdicated
Neuvillette,Skirk,spoke with
Hydro Gnosis,remains of third Descender,was
Neuvillette,Skirk,asked
Skirk,did not know,insisted
Skirk,ask her master,promised
Tartaglia,information,relay
Neuvillette,reasoning,revealed
Neuvillette,Hydro Gnosis,gave
Traveler,Neuvillette,informed
Traveler,fourth Descender,is
Traveler,Gnoses,unsure
Traveler,Childe,decide to ask
Neuvillette,gods' will,pondered
Neuvillette,rain,pondered
Traveler and Paimon,Natlan,will head to
Natlan,endless war,is the land of
Natlan,human and dragons coexist,is a nation where
Knave,Il Capitano has thrown his hat,revealed
Il Capitano,ring of war,thrown his hat into
Neuvillette,prepare,suggested
Masquerade of the Guilty,3 Achievements,has
Bedtime Story,Chapter IV,is the sixth act in
Bedtime Story,Archon Quests,is part of
Traveler,Katheryne,received commission from
Commission,missing person,is about
Missing person,Vimara Village,is from
Traveler,Vimara Village,goes to
Traveler,Bahram,asks for information from
Traveler,Amadhiah,asks for information from
Atossa,family,considers missing person as
Pyro Abyss Mage,"Traveler, Paimon, Atossa",attacks
Traveler,Dainsleif,meets
Dainsleif,Abyss Order,investigates
Vedrfolnir,The Visionary,is
Vedrfolnir,Dainsleif,is the brother of
Vedrfolnir,Five Sinners of Khaenri'ah,is one of
Five Sinners of Khaenri'ah,"Vedrfolnir, Rhinedottir, Surtalogi, Rerir, Hroptatyr",includes
Dainsleif,Loom of Fate,investigates
Dainsleif,first Field Tiller's eye,gives
Abyss Order,"Traveler, Paimon, Dainsleif",tails
Traveler's Sibling,Dainsleif,confronts
Traveler,flaws in Caribert's memory,concludes
Traveler,Atossa with Caribert,finds
Caribert,Traveler to follow him,asks
Caribert,Loom of Fate,explains
Traveler,to leave and help Dainsleif,decides
Caribert,Loom of Fate is complete,reveals
Sibling,intangibility and motives,explains
Caribert's memory,to collapse,begins
Villagers,Traveler sleeping,find
Traveler,"picture of themself, sibling, and Caribert",discovers
Flowers Resplendent on the Sun-Scorched Sojourn,Archon Quest,Quest Type
Flowers Resplendent on the Sun-Scorched Sojourn,V,Chapter
Flowers Resplendent on the Sun-Scorched Sojourn,I,Act
Flowers Resplendent on the Sun-Scorched Sojourn,Bedtime Story,Previous
Flowers Resplendent on the Sun-Scorched Sojourn,Black Stone Under a White Stone,Next
Flowers Resplendent on the Sun-Scorched Sojourn,Adventure Rank 40,Requirements
Flowers Resplendent on the Sun-Scorched Sojourn,"Reach Adventure Rank 28
Complete Archon Quest Chapter I: Act III - A New Star Approaches",Quick Start Requirements
Paimon,Pilgrimage,can join
Paimon,allowed,doubts
Paimon,Kachina,will pair up with
Kinich,Paimon's former team,will lead
Flags,six tribes of Natlan,represent
Kinich,Scions of the Canopy,is a member of
Scions of the Canopy,Yumkasaurus,are close to
Mualani,People of the Springs,hails from
Mualani,Traveler,greets
Cival,Traveler's registration,declines
Contending Fire,Sacred Flame,is fuel for
Sacred Flame,Abyss,keeps
Ancient Names,Abyss,are sent to fight
Ode of Resurrection,Ancient Names,works on
Pilgrimage,teamwork,instills
Kinich,Wayob,was brought to
Pyro Archon,food and lodging,provided
Group,Weary Inn,heads to
Kachina,Pilgrimage,is nervous about
Mualani,Night Warden Wars,is a veteran of
Traveler and Paimon,spectators,join
Teams,hot air balloons,are launched in
Teams,Contending Sparks,are tasked with collecting
Kachina and Mualani,competition,defeat
Tepexpan and Tamuin,Kachina,threaten
Kachina,Nkunga,faces
Kachina,Nkunga,defeats
Kachina,Liliuo,faces
Kachina,Liliuo,defeats
Mualani,elimination round,is Kachina's final opponent
Kachina,Mualani,defeats
Kachina,Night Warden Wars,will participate in
Mualani,Traveler,will show around
Kinich,same idea,arrives with
"Mualani, Traveler, Kinich",Mualani's village,arrive at
Atea,Mualani,reminds
Outsiders,artificial springs,must acclimate in
Atea,hot springs,cannot enjoy
Amina and guards,party,were organizing
Atea,abandoned hot spring,enters
Mualani,Traveler,brings
Traveler and Paimon,cries,hear
Abyss,village,attacks
Mualani and Traveler,pylon,destroy
Atea,pylon,destroyed
Atea,severe injuries,sustains
Traveler,Atea's wounds,purifies
Party,,commences
Atea,Traveler,thanks
Atea,impending death,reveals
Atea,talisman,gives
Quick Start,Version 2.6,introduced in
Quick Start,certain prerequisite Quests,allows players to skip
Quick Start,limited time,available for
Quick Start,certain Quests,available for
certain Quests,Version 5.0,released during or after
Quick Start,many Events,used in
many Events,Version 4.0,released before
Using Quick Start,player's experience,may impact
story and dialogue,whether the player has completed the recommended prerequisite quests,do not change based on
event story,player's progression outside of the event,may be incongruous with
event story,spoilers for the quests they have not yet completed,may have
Quick Start,all quest requirements,cannot skip
Graven Innocence,The Trail of the God of Wisdom,allowed players to participate without completing
players,The Outlander Who Caught the Wind,still needed to have completed
No events released after Secret Summer Paradise,Quick Start,utilize
17 Events,Quick Start feature,have
4 Quests,Quick Start feature,have
Chapter I,Liyue,is set in
Rex Lapis,Contracts,God of
Venti,Traveler,informed
Rex Lapis,Liyue,coming to
Traveler,Paimon,and
Traveler,Geo Archon,meet
Ningguang,Rex Lapis,summons
Millelith,suspects,apprehend
Traveler,glass,steps on
Millelith,Traveler,surround
Hydro user,Millelith,defeats
Childe,Traveler,asks
Childe,Harbinger,is
Traveler,word of adepti,get
Adepti,Jueyun Karst,live at
Moon Carver,sigil,notices
Traveler,guards,remove
Rex Lapis,assassinated,was
Moon Carver,Traveler,tells
Traveler,"Cloud Retainer, Mountain Shaper, and Demon Conqueror",seek out
"Cloud Retainer, Mountain Shaper",Jueyun,residing around
Demon Conqueror,Wangshu Inn,is in
Demon Conqueror,Xiao,is
Xiao,Adepti,is
Xiao,Almond Tofu,enjoys
Ghost,inn,haunting
Paimon,ghost,spots
Traveler,ghost,follow
Ghost,Ruin Hunter,possessing
Traveler,Ruin Hunter,defeat
Chef,Almond Tofu,creates
Traveler,food,offer
Paimon,Xiao,request
Ghost,innocent spirit,is
Traveler,Mountain Shaper,search for
Man,adepti,begging
Brother,amber,encased in
Mountain Shaper,angered,appears
Mountain Shaper,karst flowers,planted
Cloud Retainer,to be found,last
Traveler,stone table,find
Traveler,food,place
Cloud Retainer,Traveler,allows
Traveler,domain,navigate
Traveler,puzzles,solve
Traveler,Cloud Retainer,meet
Cloud Retainer,Liyue,vows to destroy
Traveler,Cloud Retainer,calm
Traveler,Boreas,asks
Abyss Order,Wolvendom,attacks
Traveler,ritual,interrupts
Herald,,flees
Dainsleif,eye,takes custody
Dainsleif,destroy the Defiled Statue,suggests
Herald,Traveler,attacks
Sibling,attack,interrupts
Sibling,Traveler,asks
Sibling,,leaves
Dainsleif,portal,enters
Paimon,Traveler,cheers
Black Stone Under a White Stone,Archon Quest,Quest Type
Black Stone Under a White Stone,V,Chapter
Black Stone Under a White Stone,II,Act
Black Stone Under a White Stone,Flowers Resplendent on the Sun-Scorched Sojourn,Previous
Black Stone Under a White Stone,Beyond the Smoke and Mirrors,Next
Black Stone Under a White Stone,Adventure Rank 40,Requirements
Chasca,Wayna,asks
Wayna,Vichama,refers
Vichama,obsidian and rope,asks
Abyss,Vichama's tribe,attacked
Vichama,ritual,begins
Monsters,Vichama,attack
Chasca,Spiritspeaker Stone,destroys
Traveler,Mallko's final memory,finds
Chasca,Vichama,informs
Group,Wayna,returns
Wayna,Chasca's past,explains
Chuychu,support Chasca,agrees
Group,Stadium of the Sacred Flame,returns
Mavuika,Capitano,clashed with
Mavuika,group,leads
Group,ritual,initiates
Kachina,group,informs
Wayob,Kachina,helped
Kachina,Night Kingdom,investigated
Abyss,Wayob,affecting
Mavuika,group,directs
Iansan,go with group,volunteers
Chasca and Iansan,Paimon,correct
Group,hilichurls and Saurian manifestations,fights
Mallko,himself,introduces
Mallko,help,offers
Mallko,group,protects
Group,Kachina,finds
Riftwolves,Kachina,attack
Kachina,friends to accompany her to Wayob,asks
Mallko,Wayob's consciousness,explains
Group,totem,purifies
Comonqui,Mallko's spirit,eliminates
Comonqui,Pyro Archon refuses to share power,claims
Mualani and Kachina,Comonqui,drive away
Tupac,Mualani,congratulates
Mualani,plan to save Natlan,realizes
Wayob,Kachina,speaks with
Mavuika,ceiling of Night Realm,shatters
Chuychu,Natlanese for Abyssal contamination,treats
Mavuika,Traveler will play important role,states
Mavuika,tribes and Wayob weakened,explains
Mavuika,patience,advises
Mavuika,keepsakes had Contending Flame,reveals
Mavuika,items' owners contributed to Natlan's survival,states
Group,Kachina's return,celebrates
Mavuika,Traveler to help save Natlan,asks
Mavuika,support and Ancient Name,promises
Mavuika,order with Xilonen,prepares
Rezanov,Capitano of Pyro Archon's weakened state,informs
Capitano,to take Gnosis,refuses
Unknown person,Capitano about Mavuika's decision,informs
Capitano,unknown person's usefulness,acknowledges
Beyond the Smoke and Mirrors,Archon Quest,Quest Type
Beyond the Smoke and Mirrors,Chapter V,Chapter
Beyond the Smoke and Mirrors,Act III,Act
Beyond the Smoke and Mirrors,Black Stone Under a White Stone,Previous
Beyond the Smoke and Mirrors,The Rainbow Destined to Burn,Next
Beyond the Smoke and Mirrors,Adventure Rank 40,Requirements
Lord of the Night,Sacred Flame,uses
Traveler,Lord of the Night's dream,enters
Xilonen,materials,offers
Traveler and Paimon,track down Ororon,help
Citlali,Ororon's home,investigates
Fatui,Ororon,interested in
Ororon,Fatui,speaks to
Tribe,Ororon,raised
Aphids,phlogiston trail,leave behind
Citlali,insecurity,experiences
Traveler and Paimon,trail,follow
Citlali,distress signal,notices
Citlali,fight,realizes
Traveler,Night Kingdom,falls unconscious
Ororon,paths,set up
Capitano,Traveler,greets
Capitano,"goals, motivations, and mistrust",explains
Traveler,Capitano,should meet
Ororon,not to tell Citlali,asks Traveler
Traveler,reality,returns to
Citlali,Fatui camp,finds
Kosterlitzky,Ororon,orders
Citlali,Ororon,scolds
Ororon,Capitano,saved
"Traveler, Paimon",meeting spot,head to
Capitano,Traveler's judgement,believes
Capitano,Childe,learned from
Capitano,Mavuika's plan,does not believe
Paimon,Capitano wants Gnosis,believes
Backup plan,Gnosis,involves
Citlali,Ororon's collusion with the Fatui,angered by
Traveler,Citlali's interruption,upset by
Traveler,Ororon might know something,believes
Ororon,the group with an illusion,tricks
Citlali,talking over a meal,suggests
Citlali,drunk,gets
Traveler and Paimon,hearing Citlali's thoughts,disclose
Citlali,insecurity about her age,expresses
Citlali,Ororon's incomplete soul,reveals
Abyss,a nation-wide attack,launches
Traveler,need to speak to Mavuika,informs Iansan
Mavuika,backup plan,confirms
Mavuika,participation in defense,reveals
Traveler and Paimon,caravan,rescue
Chasca and Chuychu,Fatui's interest in the Source Mechanism,discover
Ororon,defend the tribe,returned to
Ororon,soul stabilization,needed
Ifa,replacement gem,delivered
